Sl. No,QUESTIONS,OPTION A,OPTION B,OPTION C,OPTION D,CORRECT ANS,MARKS
1,What is the capital of India?,Delhi,Mumbai,Kolkata,Chennai,a,1
2,What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,a,1
3,_______ is the smallest unit of data in a computer ?,Gigabyte,Byte,Bit,Terabyte,c,1
4,Which of the following is NOT an anti-virus software,Avast,Linux,Norton,Kaspersky,b,1
5,In the context of digital computer  which of the following pairs of digits is referred to as binary code ?,3 and 4,0 and 1,2 and 3,1 and 2,b,1
6,Which unit of the computer is considered as the brain of the computer ?,Memory Unit,Input Unit,CPU,Output Unit,c,1
7,In the context of computing what is the full form of URL ?,Undistributed Resource Locator,Unified Resource Locator ,Uniform Resource Locator,Uniform Region Locator,c,1
8,ROLLBACK in a database is ________ statement ?,TCL,DCL,DDL,DML,a,1
9,A tuple is a ?,column of a table,2D table,row of a table,key of a table,c,1
10,A collection of interrelated records is called a ?,management system,spreadsheet,database,text file,c,1
11,A collection of unprocessed items is ________ ?,information,data,memory,reports,b,1
12,__________ is the process of finding errors in software code ?,Compiling,Executing,Testing,Debugging,d,1
13,Which of the following laws is associated with the heating effect of electric current ?,Joule's Law,Ohm's Law,Faraday's Law,Newton's Law,a,1
14,Which element in the periodic table forms maximum number of compounds ?,Hdrogen,Oxygen,Sulphur,Carbon,d,1
15,How much work is done in moving a charge of 5 C across two points having a potential difference of 16 V ?,65 J, 45 J,40 J,80 J,d,2
16,The atmospheric pressure at sea level is ........ atm ?,0.001,0.1,1,0,c,1
17,In which year did Independent India win its first Olympic Gold in the game of Hockey ?,1952,1960,1948,1956,c,1
18,In which year was UNICEF founded ?,1946,1947,1948,1949,a,1
19,The first Commonwealth Games were held in ?,1920,1930,1935,1950,b,1
20,P is the father of Q and R is the son of S. T is the brother of P. Q is the sister of R. How is S related to T ?,Brother-in-law,Daughter,Sister-in-law,Brother,c,1
